model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,roc_auc_mean,roc_auc_std,strategy_sharpe_mean,strategy_sharpe_std
simple_exp_smoothing,0.0468560006322143,0.0055635148292578675,0.03587956447835852,0.0031888416318770923,-0.00449079230284936,0.005707464697962764,0.4992952783650458,0.011595829930869835,0.5106454755215055,0.007200520689936123,-0.07406418645279961,0.18520943299081835
zero_return,0.04685642719957673,0.005561181282886736,0.03587898574421994,0.003192755112360537,-0.004520538587485283,0.006096499762458493,0.5246652572233967,0.04003445394597741,0.5,0.0,,
arima_111,0.046892533468413385,0.005581829855972694,0.03596348281396353,0.003228627764532268,-0.006001917475960757,0.005332429014192284,0.47463002114164904,0.04212443730480183,0.5104499146166058,0.006739222679936976,0.029363478033917246,0.3093727313757081
holt_winters_5d,0.046974036696349177,0.0055760573509261386,0.0360029140227443,0.003210239979521921,-0.00955161960433637,0.004492142408166375,0.4823819591261452,0.043099072121275235,0.4857019424980051,0.031544739674462724,-0.15688697760840498,0.5336819231979812
threshold_ar_npi,0.047565446881671254,0.005789765274832645,0.03662039204311749,0.0034337543061272943,-0.0346754986049825,0.018008189160870578,0.47780126849894294,0.02709514929804716,0.48763257728730247,0.009824251810254035,0.08205109550168561,0.46300239442080554
ar_ridge,0.04766181215926086,0.00595531230834907,0.036405098498897476,0.003363836362474674,-0.038747861738864575,0.04232260435050945,0.5052854122621565,0.040707969374143164,0.5322624359353236,0.017373017313475785,0.035162255714117185,0.8166438214075662
random_forest_technical,0.04802095443056605,0.006428284640489898,0.03695585256851456,0.003959308464118301,-0.05373585707048282,0.07119493391735465,0.5105708245243129,0.024723077301324514,0.5353868281535074,0.017745519479511116,0.20083391776942996,0.5568983073578092
linear_technical,0.04807437273270485,0.0050697465474784,0.03692005064598299,0.0027014183380462955,-0.060001166700629195,0.03354644809431552,0.4795630725863284,0.028173445394842404,0.5098338175049267,0.04031407854365879,-0.1962053958852296,0.14267536461686062
xgboost_integrated,0.04866152382335894,0.008357213567947315,0.03793664532855499,0.006914798575229927,-0.08297302331783658,0.19369508606186617,0.5412262156448203,0.07471711224977715,0.6021998803911631,0.018100206930026574,0.7080461172836229,0.7831687081953133
elm_price_history,0.048667573328907504,0.005608774647106513,0.03740716652072598,0.003606980253328529,-0.08535498609040267,0.057766612672805424,0.5186751233262862,0.021176855815809352,0.5329779205422501,0.022696350920532148,0.13939605136585728,0.45633021889195263
cot_contract_stress_forest,0.04908111905586046,0.004479891620291705,0.038073999271925604,0.0027853074720591447,-0.1079929337628552,0.066086429466257,0.5133897110641297,0.01481173330301879,0.5372455412946756,0.03310328476731058,0.29346158932611316,0.6189200786437422
xgboost_regime_aware,0.049220773231639404,0.007790290029562287,0.03845961657597414,0.006486035213070004,-0.10821174465484125,0.16702575576711337,0.5236081747709656,0.06875371321590167,0.5894556767439697,0.009484593359056322,0.2723128437940059,0.49230170796503814
hist_gradient_boosting_integrated,0.0515656258526723,0.008952077412892445,0.040478215699787566,0.007597653577448621,-0.21628089733450126,0.22373644473061835,0.5155038759689923,0.055275743390407556,0.5820049573431437,0.00908281131650977,0.1632636861659537,0.45716917506063426
hedonic_weather_cot_ridge,0.05448565288514898,0.009819817596911749,0.04267782772718754,0.008699408928228486,-0.3605267497661819,0.285951731553066,0.5091613812544046,0.03538200931298009,0.5412994786949762,0.019347830148826208,0.058802455001955134,0.4033281820668837
mlp_price_history,0.05751729451388693,0.006608103635997125,0.042571937314099605,0.004307235781754097,-0.5150318264014212,0.046612152464517234,0.4897815362931642,0.01225182427816327,0.50096959147832,0.022487019942400165,-0.1375515162349539,0.3438240867800384
quadratic_trend_252d,0.09170378994075122,0.025350176726150527,0.06613724581715573,0.015156487157522222,-2.903999278134361,1.6598674499115456,0.555320648343904,0.026770147869235508,0.5666327651821348,0.040138827914310185,0.8504352064626156,0.36153054303485826
linear_trend_252d,0.10870341799555534,0.028427864683189547,0.08446252764057864,0.02004107308005054,-4.501445792193485,2.2471263999604574,0.5063424947145877,0.02016784781008341,0.5459914941297836,0.02624560604220928,0.06965489967092613,0.4358284727363736
