phase,regime_family,regime,model,rows,date_start,date_end,actual_mean_return,actual_return_std,actual_positive_rate,prediction_mean_return,prediction_positive_rate,rmse,mae,r2,mean_error_bias,directional_accuracy,balanced_accuracy,precision_positive,recall_positive,f1_positive,matthews_correlation,roc_auc,average_precision,zero_return_rmse,rmse_improvement_vs_zero_pct,majority_direction_accuracy,directional_accuracy_minus_majority
validation,volatility_regime,high_volatility,zero_return,409,2018-10-02,2022-08-29,0.0038053245784742426,0.05269640472072117,0.5012224938875306,0.0,0.0,0.05276932870539291,0.04097809342332192,-0.00522738618152907,-0.0038053245784742426,0.49877750611246946,0.5,0.0,0.0,0.0,0.0,0.5,0.5012224938875306,0.05276932870539291,0.0,0.5012224938875306,-0.002444987775061136
validation,volatility_regime,high_volatility,ar_ridge,409,2018-10-02,2022-08-29,0.0038053245784742426,0.05269640472072117,0.5012224938875306,-0.0028725650751708367,0.38386308068459657,0.053188588186181635,0.04074827158350586,-0.02126417745924014,-0.006677889653645078,0.511002444987775,0.5112864658058345,0.5159235668789809,0.3951219512195122,0.44751381215469616,0.023207581456483925,0.5372788139646102,0.512562095037342,0.05276932870539291,-0.007945135764933164,0.5012224938875306,0.009779951100244433
validation,volatility_regime,high_volatility,arima_111,409,2018-10-02,2022-08-29,0.0038053245784742426,0.05269640472072117,0.5012224938875306,-0.00022875861207701155,0.3569682151589242,0.05277302105458818,0.04098220509765944,-0.005368065643496012,-0.004034083190551254,0.4889975550122249,0.48934720229555234,0.4863013698630137,0.3463414634146341,0.4045584045584046,-0.022234705811904662,0.512960306073649,0.5042268377124656,0.05276932870539291,-6.997150211796033e-05,0.5012224938875306,-0.01222493887530568
validation,volatility_regime,high_volatility,simple_exp_smoothing,409,2018-10-02,2022-08-29,0.0038053245784742426,0.05269640472072117,0.5012224938875306,-2.9515622374403727e-05,0.49144254278728605,0.05275744262788674,0.040979552801816116,-0.004774590389974964,-0.0038348402008486463,0.5061124694376528,0.5061334289813486,0.5074626865671642,0.4975609756097561,0.5024630541871922,0.01226861829247066,0.5136776661884266,0.5052051089510685,0.05276932870539291,0.0002252459486935532,0.5012224938875306,0.004889975550122161
validation,volatility_regime,high_volatility,holt_winters_5d,409,2018-10-02,2022-08-29,0.0038053245784742426,0.05269640472072117,0.5012224938875306,0.00043126086063540305,0.530562347188264,0.052778603119955005,0.04099700671683862,-0.005580762470555944,-0.0033740637178388396,0.5012224938875306,0.5011477761836443,0.5023041474654378,0.5317073170731708,0.5165876777251185,0.00229984590111321,0.5082735533237686,0.5178713060712787,0.05276932870539291,-0.0001757538856306251,0.5012224938875306,0.0
validation,volatility_regime,high_volatility,linear_trend_252d,409,2018-10-02,2022-08-29,0.0038053245784742426,0.05269640472072117,0.5012224938875306,-0.02790957375089407,0.33496332518337407,0.09899930328951281,0.08079745590580271,-2.5380620852184337,-0.03171489832936831,0.5354523227383863,0.535856049736968,0.5547445255474452,0.37073170731707317,0.4444444444444444,0.07596957834204113,0.5640841702534672,0.599911311690956,0.05276932870539291,-0.876076609619544,0.5012224938875306,0.03422982885085568
validation,volatility_regime,high_volatility,quadratic_trend_252d,409,2018-10-02,2022-08-29,0.0038053245784742426,0.05269640472072117,0.5012224938875306,-0.028373625471305945,0.3863080684596577,0.09359620966123665,0.07330057189249575,-2.1624065165023527,-0.032178950049780185,0.5281173594132029,0.5283955045432808,0.5379746835443038,0.4146341463414634,0.46831955922865015,0.058318479919495646,0.5333572453371593,0.5347685731946346,0.05276932870539291,-0.7736858125252468,0.5012224938875306,0.02689486552567233
validation,volatility_regime,high_volatility,linear_technical,409,2018-10-02,2022-08-29,0.0038053245784742426,0.05269640472072117,0.5012224938875306,-0.004129409524401589,0.3594132029339853,0.05367750105601937,0.041061198808390285,-0.04012551812862619,-0.007934734102875832,0.48166259168704156,0.4820062171209948,0.47619047619047616,0.34146341463414637,0.3977272727272727,-0.03750033718004783,0.5341941654710665,0.5049691633643868,0.05276932870539291,-0.017210231263253606,0.5012224938875306,-0.019559902200489032
validation,volatility_regime,high_volatility,random_forest_technical,409,2018-10-02,2022-08-29,0.0038053245784742426,0.05269640472072117,0.5012224938875306,-0.003264991227715678,0.44987775061124696,0.053525173403029355,0.041086412938804495,-0.0342304945856704,-0.007070315806189921,0.5183374083129584,0.5184600669536107,0.5217391304347826,0.4682926829268293,0.493573264781491,0.03710693736743926,0.5396939263510282,0.5562656244134997,0.05276932870539291,-0.014323560980968209,0.5012224938875306,0.017114914425427785
validation,volatility_regime,high_volatility,mlp_price_history,409,2018-10-02,2022-08-29,0.0038053245784742426,0.05269640472072117,0.5012224938875306,-0.00811245931171332,0.3740831295843521,0.07119686810133745,0.05265113218392483,-0.829881441436197,-0.011917783890187562,0.511002444987775,0.5113103778096604,0.5163398692810458,0.3853658536585366,0.441340782122905,0.023374020688236952,0.5177427068388331,0.49726512029205516,0.05276932870539291,-0.34920928213478075,0.5012224938875306,0.009779951100244433
