model,rows,actual_return_mean,predicted_return_mean,return_error_mean,return_mae,return_rmse,close_mae,close_rmse,directional_accuracy,actual_up_rate,predicted_up_rate
arima_111,1003,0.003162100662326627,0.000626533570023845,-0.0025355670923027807,0.04227268921382728,0.053302701678472224,11.281099981373735,15.241320932837965,0.5034895314057827,0.4995014955134596,0.9521435692921236
zero_return,1003,0.003162100662326627,0.0,-0.003162100662326627,0.042272718104038376,0.05333035079418748,11.278663840631426,15.240070216751633,0.5004985044865404,0.4995014955134596,0.0
simple_exp_smoothing,1003,0.003162100662326627,-6.2087661096374376e-06,-0.003168309428436264,0.042269928399073876,0.0533370722228076,11.277510859754477,15.24112856293768,0.49750747756729813,0.4995014955134596,0.5014955134596212
ar_ridge,1003,0.003162100662326627,0.0004654755119265981,-0.0026966251504000277,0.04228463346959751,0.053388851472338204,11.241709073740628,15.16306991167216,0.48753738783649053,0.4995014955134596,0.555333998005982
holt_winters_5d,1003,0.003162100662326627,0.00200217246784397,-0.0011599281944826543,0.04240062743831237,0.05339239502660625,11.327861756812688,15.297545918011929,0.4955134596211366,0.4995014955134596,0.9102691924227319
research_ensemble,1003,0.003162100662326627,-0.0011626808302652258,-0.004324781492591852,0.04229102061434174,0.053443390785665956,11.256962576882538,15.232793980521143,0.5014955134596212,0.4995014955134596,0.46161515453639085
threshold_ar_npi,1003,0.003162100662326627,0.0010252791345487801,-0.0021368215277778454,0.042564793913040654,0.05357565816139619,11.339141402001802,15.298914164771737,0.5094715852442672,0.4995014955134596,0.6031904287138584
cot_contract_stress_forest,1003,0.003162100662326627,0.0006478053504801411,-0.002514295311846486,0.04248153703516106,0.05365804048243496,11.28631264610013,15.275881336973656,0.5104685942173479,0.4995014955134596,0.6560319042871385
linear_technical,1003,0.003162100662326627,-0.004410795943975441,-0.0075728966063020675,0.042468767399403994,0.05382874697310827,11.279327484742899,15.219282560040304,0.5114656031904287,0.4995014955134596,0.3698903290129611
elm_price_history,1003,0.003162100662326627,0.0010777500749323493,-0.0020843505873942773,0.04293610136607257,0.054013987157026,11.41555168727973,15.331385710429007,0.5174476570289133,0.4995014955134596,0.5413758723828515
xgboost_regime_aware,1003,0.003162100662326627,-0.0031101071194762062,-0.0062722077818028335,0.04286035815562123,0.05440264930097701,11.400856376243839,15.499090522151329,0.5124626121635095,0.4995014955134596,0.4167497507477567
random_forest_technical,1003,0.003162100662326627,-0.004432020097945279,-0.007594120760271905,0.04330658407423184,0.054645798957402195,11.558237070311593,15.628016646891354,0.48454636091724823,0.4995014955134596,0.36490528414755735
xgboost_integrated,1003,0.003162100662326627,-0.00397616805905565,-0.007138268721382275,0.04314824119445428,0.05466471863672637,11.450201346188082,15.518817180203621,0.5074775672981057,0.4995014955134596,0.35992023928215355
hist_gradient_boosting_integrated,1003,0.003162100662326627,-0.008033608715958875,-0.0111957093782855,0.04457260873278807,0.05683953329951258,11.85778665647525,16.090305987744227,0.5004985044865404,0.4995014955134596,0.317048853439681
mlp_price_history,1003,0.003162100662326627,-0.0016144539925243785,-0.004776554654851004,0.04606011262833832,0.059494756173812384,12.318858553314817,17.230594880480737,0.5154536390827518,0.4995014955134596,0.4835493519441675
hedonic_weather_cot_ridge,1003,0.003162100662326627,-0.021257686746130197,-0.024419787408456822,0.04744818292559599,0.061497586976201446,12.384020170897854,16.83784935061621,0.5064805583250249,0.4995014955134596,0.1016949152542373
linear_trend_252d,1003,0.003162100662326627,0.011529967089034572,0.008367866426707948,0.1050479257656279,0.1335532172402699,27.86118359450398,37.58956341109174,0.5024925224327019,0.4995014955134596,0.4985044865403789
quadratic_trend_252d,1003,0.003162100662326627,0.001631623603769164,-0.001530477058557465,0.11332549614957346,0.1397260380153129,30.766638817242413,40.84759654334098,0.4905284147557328,0.4995014955134596,0.5044865403788634
